nt_code,microbe_label,species_label,species_name,genus,family,phylum,ENZ001,ENZ002,ENZ003,ENZ004,ENZ005,ENZ006,ENZ007,ENZ008,ENZ009,ENZ010,ENZ011,ENZ012,ENZ013,ENZ014,ENZ015,ENZ016
NT5023,Bifidobacterium longum,Bifidobacterium longum,Bifidobacterium longum subsp. infantis (S1) DSM No.: 20088,,,,,0.8,,,0.8,0.8,0.8,,0.8,0.8,,,,0.8,0.35,0.8
NT5023,Bifidobacterium longum,Bifidobacterium longum,Bifidobacterium longum subsp. infantis (S1) DSM No.: 20088,Bifidobacterium,,,,,,,,,,0.8,,,,,,,,
NT5024,Eggerthella lenta,Eggerthella lenta,Eggerthella lenta (S2) DSM No.: 2243,Eggerthella,Coriobacteriaceae,Actinobacteria,,,,,0.8,0.8,,,,,,,0.35,0.8,,0.8
NT5025,Fusobacterium nucleatum,Fusobacterium nucleatum,Fusobacterium nucleatum subsp. nucleatum (S2) DSM No.: 15643,Fusobacterium,Fusobacteriaceae,Fusobacteria,,,,,0.8,0.8,,,,,,,0.35,0.8,,0.8
NT5026,Clostridium bolteae,Clostridium bolteae,Clostridium bolteae (S1) DSM No.: 15670,Clostridium,Clostridiaceae,Firmicutes,0.6,,,,,0.35,,,,,0.8,0.8,0.6,,,
NT5027,Dorea longicatena,Dorea longicatena,Dorea longicatena (S1) DSM No.: 13814,,,,,0.8,,,0.8,0.8,,,0.8,0.8,,,0.35,0.8,0.35,
NT5027,Dorea longicatena,Dorea longicatena,Dorea longicatena (S1) DSM No.: 13814,Dorea,,,,,,,,,,,,,0.35,0.35,,,,
NT5028,Bifidobacterium longum,Bifidobacterium longum,Bifidobacterium longum subsp. longum (S1) DSM No.: 20219,Bifidobacterium,Bifidobacteriaceae,Actinobacteria,,0.8,,,0.8,0.8,0.8,0.8,0.8,1.0,,,,0.8,0.35,0.8
NT5029,Fusobacterium nucleatum,Fusobacterium nucleatum,Fusobacterium nucleatum subsp. animalis (S2) DSM 19679,,,,,,,,0.8,0.8,,,,,,,0.35,0.8,,0.8
NT5030,Fusobacterium nucleatum,Fusobacterium nucleatum,Fusobacterium nucleatum subsp. vincentii (S2) DSM 19507,,,,,,,,0.8,0.8,,,,,,,0.35,0.8,,0.8
NT5031,Clostridium perfringens,Clostridium perfringens,Clostridium perfringens (S2) DSM 11782,,,,1.0,0.8,,,0.8,0.8,,,1.0,1.0,,,0.35,0.8,0.35,0.8
NT5031,Clostridium perfringens,Clostridium perfringens,Clostridium perfringens (S2) DSM 11782,Clostridium,,,,,,,,,,,,,0.8,0.8,,,,
NT5032,Clostridium perfringens,Clostridium perfringens,Clostridium perfringens (S2) DSM 756,Clostridium,Clostridiaceae,Firmicutes,1.0,0.8,,,0.8,0.8,,,1.0,1.0,0.8,0.8,0.35,0.8,0.35,0.8
NT5033,Bacteroides fragilis (ET),Bacteroides fragilis (ET),Bacteroides fragilis enterotoxigenic (S2) ATCC No: 43860,Bacteroides,Bacteroidaceae,Bacteroidetes,1.0,0.8,,,0.8,0.8,0.8,0.8,0.8,0.8,,,,0.8,0.35,0.8
NT5034,Methanobrevibacter smithii,Methanobrevibacter smithii,Methanobrevibacter smithii (S1) DSM 2374,,,,,,,,0.8,0.8,,,,0.8,,,0.35,0.8,,
NT5035,Desulfovibrio piger,Desulfovibrio piger,Desulfovibrio piger (S1) DSM 749,,,,,0.8,,,0.8,0.8,,,,,,,,0.8,,0.8
NT5036,Bilophila wadsworthia,Bilophila wadsworthia,Bilophila wadsworthia (S2) ATCC No: 49260,Bilophila,Desulfovibrionaceae,Proteobacteria,,0.35,,,0.8,0.8,,,,0.35,,,0.35,0.8,,0.8
NT5037,Clostridium saccharolyticum,Clostridium saccharolyticum,Clostridium saccharolyticum (S1) DSM No: 2544,Clostridium,Clostridiaceae,Firmicutes,0.6,,,,,0.35,,,,,0.8,0.8,0.6,,,
NT5038,Streptococcus salivarius,Streptococcus salivarius,Streptococcus salivarius (S2) DSMZ No: 20560,Streptococcus,Streptococcaceae,Firmicutes,,,,,0.8,0.8,0.35,,0.35,0.6,,,0.35,0.8,0.35,0.8
NT5039,Actinomyces odontolyticus,Actinomyces odontolyticus,Actinomyces odontolyticus (S2) DSM No: 43331,,,,,0.8,,,0.8,0.8,,,0.8,,,,,0.8,0.35,0.8
NT5040,Eubacterium siraeum,Eubacterium siraeum,Eubacterium siraeum (S1) DSM No: 15702,,,,,,,,0.8,0.8,0.8,,0.8,0.8,,,0.35,0.8,0.35,0.8
NT5040,Eubacterium siraeum,Eubacterium siraeum,Eubacterium siraeum (S1) DSM No: 15702,Eubacterium,,,0.6,,,,,,,,,,0.8,0.8,,,,
NT5041,Lactobacillus acidophilus,Lactobacillus acidophilus,Lactobacillus acidophilus (S1) ATCC No: 700936,,,,,,,,0.8,0.8,0.8,0.8,1.0,0.8,,,0.35,0.8,0.35,
NT5042,Lactobacillus paracasei,Lactobacillus paracasei,Lactobacillus paracasei (S1) ATCC No: SD5275,Lactobacillus,Lactobacillaceae,Firmicutes,0.8,,,,0.8,0.8,0.8,,0.8,0.8,,,0.35,0.8,0.35,0.8
NT5043,Bifidobacterium animalis,Bifidobacterium animalis,Bifidobacterium animalis subsp. lactis BL-04 (S1) DGCC2908,,,,,,,,0.8,0.8,0.8,,0.8,1.0,,,,0.8,0.35,0.8
